School Name,City and State,Type,Conference,Division
Abilene Christian University,"Abilene, Texas",Private,Western Athletic Conference,NCAA D1
Abraham Baldwin Agricultural College,"Tifton, Georgia",Public,Georgia Collegiate Athletic Association,JC
Academy of Art University,"San Francisco, California",Private,Pacific West Conference,NCAA D2
Adams State University,"Alamosa, Colorado",Public,Rocky Mountain Athletic Conference,NCAA D2
Adelphi University,"Garden City, New York",Private,Northeast-10 Conference,NCAA D2
Adrian College,"Adrian, Michigan",Private,Michigan Intercollegiate Athletic Association,NCAA D3
Alabama A&M University,"Normal, Alabama",Public,Southwestern Athletic Conference,NCAA D1
Alabama State University,"Montgomery, Alabama",Public,Southwestern Athletic Conference,NCAA D1
Albany State University,"Albany, Georgia",Public,Southern Intercollegiate Athletic Conference,NCAA D2
Albertus Magnus College,"New Haven, Connecticut",Private,Great Northeast Athletic Conference,NCAA D3
Albion College,"Albion, Michigan",Private,Michigan Intercollegiate Athletic Association,NCAA D3
Albright College,"Reading, Pennsylvania",Private,Middle Atlantic Conferences,NCAA D3
Alcorn State University,"Alcorn State, Mississippi",Public,Southwestern Athletic Conference,NCAA D1
Alexandria Technical & Community College,"Alexandria, Minnesota",Public,Minnesota College Athletic Conference,JC
Alfred State College,"Alfred, New York",Public,Allegheny Mountain Collegiate Conference,NCAA D3
Alfred University,"Alfred, New York",Private,Empire 8 Athletic Conference,NCAA D3
Allan Hancock College,"Santa Maria, California",Public,Western State Conference,JC
Allegany College of Maryland,"Cumberland, Maryland",Public,MD JUCO,JC
Allegheny College,"Meadville, Pennsylvania",Private,Presidents' Athletic Conference,NCAA D3
Allen Community College,"Iola, Kansas",Public,KJCCC,JC
Alma College,"Alma, Michigan",Private,Michigan Intercollegiate Athletic Association,NCAA D3
Alpena Community College,"Alpena, Michigan",Public,MCCAA,JC
Alvernia University,"Reading, Pennsylvania",Private,Middle Atlantic Conferences,NCAA D3
Alvin Community College,"Alvin, Texas",Public,SJCC,JC
Amarillo College,"Amarillo, Texas",Public,WJCAC,JC
American International College,"Springfield, Massachusetts",Private,Northeast-10 Conference,NCAA D2
American River College,"Sacramento, California",Public,Big 8 Conference,JC
Amherst College,"Amherst, Massachusetts",Private,New England Small College Athletic Conference,NCAA D3
Anderson University – Indiana,"Anderson, Indiana",Private,Heartland Collegiate Athletic Conference,NCAA D3
Anderson University – South Carolina,"Anderson, South Carolina",Private,South Atlantic Conference,NCAA D2
Angelina College,"Lufkin, Texas",Public,SJCC,JC
Angelo State University,"San Angelo, Texas",Public,Lone Star Conference,NCAA D2
Anna Maria College,"Paxton, Massachusetts",Private,Great Northeast Athletic Conference,NCAA D3
Anne Arundel Community College,"Arnold, Maryland",Public,MD JUCO,JC
Anoka-Ramsey Community College,"Coon Rapids, Minnesota",Public,MCAC,JC
Appalachian State University,"Boone, North Carolina",Public,Sun Belt Conference,NCAA D1
Aquinas College – Michigan,"Grand Rapids, Michigan",Private,Wolverine-Hoosier Athletic Conference,NAIA
Arcadia University,"Glenside, Pennsylvania",Private,Middle Atlantic Conferences,NCAA D3
Arizona Christian University,"Glendale, Arizona",Private,Great Southwest Athletic Conference,NAIA
Arizona State University,"Tempe, Arizona",Public,Big 12 Conference,NCAA D1
Arizona Western College,"Yuma, Arizona",Public,ACCAC,JC
Arkansas State University,"Jonesboro, Arkansas",Public,Sun Belt Conference,NCAA D1
Arkansas State University – Mid-South,"West Memphis, Arkansas",Public,Bi-State Conference,JC
Arkansas State University – Mountain Home,"Mountain Home, Arkansas",Public,Bi-State Conference,JC
Arkansas Tech University,"Russellville, Arkansas",Public,Great American Conference,NCAA D2
Arlington Baptist University,"Arlington, Texas",Private,National Christian College Athletic Association,JC
Asbury University,"Wilmore, Kentucky",Private,Collegiate Conference of the South,NCAA D3
Ashland University,"Ashland, Ohio",Private,Great Lakes Intercollegiate Athletic Conference,NCAA D2
Assumption University,"Worcester, Massachusetts",Private,Northeast-10 Conference,NCAA D2
Atlantic Cape Community College,"Mays Landing, New Jersey",Public,Garden State Athletic Conference,JC
Auburn University,"Auburn, Alabama",Public,Southeastern Conference,NCAA D1
Auburn University – Montgomery,"Montgomery, Alabama",Public,Gulf South Conference,NCAA D2
Augsburg University,"Minneapolis, Minnesota",Private,Minnesota Intercollegiate Athletic Conference,NCAA D3
Augusta University,"Augusta, Georgia",Public,Peach Belt Conference,NCAA D2
Augustana College – Illinois,"Rock Island, Illinois",Private,College Conference of Illinois and Wisconsin,NCAA D3
Augustana University – South Dakota,"Sioux Falls, South Dakota",Private,Northern Sun Intercollegiate Conference,NCAA D2
Aurora University,"Aurora, Illinois",Private,Northern Athletics Collegiate Conference,NCAA D3
Austin College,"Sherman, Texas",Private,Southern Collegiate Athletic Conference,NCAA D3
Austin Peay State University,"Clarksville, Tennessee",Public,Atlantic Sun Conference,NCAA D1
Ave Maria University,"Ave Maria, Florida",Private,Sun Conference,NAIA
Averett University,"Danville, Virginia",Private,Old Dominion Athletic Conference,NCAA D3
Avila University,"Kansas City, Missouri",Private,Kansas Collegiate Athletic Conference,NAIA
Azusa Pacific University,"Azusa, California",Private,Pacific West Conference,NCAA D2
Babson College,"Wellesley, Massachusetts",Private,New England Women's & Men's Athletic Conference,NCAA D3
Bacone College,"Muskogee, Oklahoma",Private,Red River Athletic Conference,NAIA
Baker University,"Baldwin City, Kansas",Private,Heart of America Athletic Conference,NAIA
Bakersfield College,"Bakersfield, California",Public,Western State Conference,JC
Baldwin Wallace University,"Berea, Ohio",Private,Ohio Athletic Conference,NCAA D3
Ball State University,"Muncie, Indiana",Public,Mid-American Conference,NCAA D1
Bard College,"Annandale On Hudson, New York",Private,Liberty League,NCAA D3
Barry University,"Miami, Florida",Private,Sunshine State Conference,NCAA D2
Barstow Community College,"Barstow, California",Public,IEAC,JC
Barton College,"Wilson, North Carolina",Private,Conference Carolinas,NCAA D2
Barton Community College,"Great Bend, Kansas",Public,KJCCC,JC
Bates College,"Lewiston, Maine",Private,New England Small College Athletic Conference,NCAA D3
Baton Rouge Community College,"Baton Rouge, Louisiana",Public,LCCAC,JC
Bay College,"Escanaba, Michigan",Public,MCCAA,JC
Baylor University,"Waco, Texas",Private,Big 12 Conference,NCAA D1
Belhaven University,"Jackson, Mississippi",Private,Collegiate Conference of the South,NCAA D3
Bellarmine University,"Louisville, Kentucky",Private,Atlantic Sun Conference,NCAA D1
Bellevue College,"Bellevue, Washington",Public,Northwest Athletic Conference,JC
Bellevue University,"Bellevue, Nebraska",Private,North Star Athletic Association,NAIA
Belmont Abbey College,"Belmont, North Carolina",Private,Conference Carolinas,NCAA D2
Belmont University,"Nashville, Tennessee",Private,Missouri Valley Conference,NCAA D1
Beloit College,"Beloit, Wisconsin",Private,Midwest Conference,NCAA D3
Bemidji State University,"Bemidji, Minnesota",Public,Northern Sun Intercollegiate Conference,NCAA D2
Benedict College,"Columbia, South Carolina",Private,Southern Intercollegiate Athletic Conference,NCAA D2
Benedictine College,"Atchison, Kansas",Private,Heart of America Athletic Conference,NAIA
Benedictine University,"Lisle, Illinois",Private,Northern Athletics Collegiate Conference,NCAA D3
Benedictine University – Mesa,"Mesa, Arizona",Private,California Pacific Conference,NAIA
Bentley University,"Waltham, Massachusetts",Private,Northeast-10 Conference,NCAA D2
Berea College,"Berea, Kentucky",Private,Heartland Collegiate Athletic Conference,NCAA D3
Bergen Community College,"Paramus, New Jersey",Public,Garden State Athletic Conference,JC
Berry College,"Mount Berry, Georgia",Private,Southern Athletic Association,NCAA D3
Bethany College – Kansas,"Lindsborg, Kansas",Private,Kansas Collegiate Athletic Conference,NAIA
Bethany College – West Virginia,"Bethany, West Virginia",Private,Presidents' Athletic Conference,NCAA D3
Bethany Lutheran College,"Mankato, Minnesota",Private,Upper Midwest Athletic Conference,NCAA D3
Bethel University – Indiana,"Mishawaka, Indiana",Private,Crossroads League,NAIA
Bethel University – Minnesota,"Saint Paul, Minnesota",Private,Minnesota Intercollegiate Athletic Conference,NCAA D3
Bethel University – Tennessee,"Mckenzie, Tennessee",Private,Mid-South Conference,NAIA
Bethune-Cookman University,"Daytona Beach, Florida",Private,Southwestern Athletic Conference,NCAA D1
Bevill State Community College,"Jasper, Alabama",Public,Alabama Community College Conference,JC
Big Bend Community College,"Moses Lake, Washington",Public,Northwest Athletic Conference,JC
Biola University,"La Mirada, California",Private,Pacific West Conference,NCAA D2
Bishop State Community College,"Mobile, Alabama",Public,Alabama Community College Conference,JC
Bismarck State College,"Bismarck, North Dakota",Public,Mon-Dak Conference,JC
Black Hawk College – Quad Cities,"Moline, Illinois",Public,Arrowhead Conference,JC
Blackburn College,"Carlinville, Illinois",Private,St. Louis Intercollegiate Athletic Conference,NCAA D3
Blinn College,"Brenham, Texas",Public,SJCC,JC
Bloomfield College,"Bloomfield, New Jersey",Private,Central Atlantic Collegiate Conference,NCAA D2
Bloomsburg University of Pennsylvania,"Bloomsburg, Pennsylvania",Public,Pennsylvania State Athletic Conference,NCAA D2
Blue Mountain College,"Blue Mountain, Mississippi",Private,Southern States Athletic Conference,NAIA
Blue Mountain Community College,"Pendleton, Oregon",Public,Northwest Athletic Conference,JC
Bluefield State University,"Bluefield, West Virginia",Public,Central Intercollegiate Athletic Association,NCAA D2
Bluefield University,"Bluefield, Virginia",Private,Appalachian Athletic Conference,NAIA
Bluffton University,"Bluffton, Ohio",Private,Heartland Collegiate Athletic Conference,NCAA D3
Bob Jones University,"Greenville, South Carolina",Private,Independent,NCAA D3
Bossier Parish Community College,"Bossier City, Louisiana",Public,SJCC,JC
Boston College,"Chestnut Hill, Massachusetts",Private,Atlantic Coast Conference,NCAA D1
Bowdoin College,"Brunswick, Maine",Private,New England Small College Athletic Conference,NCAA D3
Bowling Green State University,"Bowling Green, Ohio",Public,Mid-American Conference,NCAA D1
Bradley University,"Peoria, Illinois",Private,Missouri Valley Conference,NCAA D1
Brandeis University,"Waltham, Massachusetts",Private,University Athletic Association,NCAA D3
Brescia University,"Owensboro, Kentucky",Private,River States Conference,NAIA
Brevard College,"Brevard, North Carolina",Private,South Atlantic Conference,NCAA D3
Brewton-Parker College,"Mount Vernon, Georgia",Private,Southern States Athletic Conference,NAIA
Briar Cliff University,"Sioux City, Iowa",Private,Great Plains Athletic Conference,NAIA
Bridgewater College,"Bridgewater, Virginia",Private,Old Dominion Athletic Conference,NCAA D3
Bridgewater State University,"Bridgewater, Massachusetts",Public,Massachusetts State Collegiate Athletic Conference,NCAA D3
Brigham Young University,"Provo, Utah",Private,Big 12 Conference,NCAA D1
Brookdale Community College,"Lincroft, New Jersey",Public,Garden State Athletic Conference,JC
Brookhaven College,"Farmers Branch, Texas",Public,Dallas Athletic Conference,JC
Brown University,"Providence, Rhode Island",Private,Ivy League,NCAA D1
Brunswick Community College,"Bolivia, North Carolina",Public,REG10N,JC
Bryan College – Tennessee,"Dayton, Tennessee",Private,Appalachian Athletic Conference,NAIA
Bryant & Stratton College – Milwaukee,"Milwaukee, Wisconsin",Private,Independent,JC
Bryant & Stratton College – Ohio,"Solon, Ohio",Private,OCCAC,JC
Bryant & Stratton College – Virginia,"Hampton, Virginia",Private,CJCC,JC
Bryant University,"Smithfield, Rhode Island",Private,American East Conference,NCAA D1
Bucknell University,"Lewisburg, Pennsylvania",Private,Patriot League,NCAA D1
Bucks County Community College,"Newtown, Pennsylvania",Public,Eastern Pennsylvania Collegiate Conference,JC
Buena Vista University,"Storm Lake, Iowa",Private,American Rivers Conference,NCAA D3
Bunker Hill Community College,"Boston, Massachusetts",Public,MCCAA,JC
Bushnell University,"Eugene, Oregon",Private,Cascade Collegiate Conference,NAIA
Butler Community College,"El Dorado, Kansas",Public,KJCCC,JC
Butler University,"Indianapolis, Indiana",Private,Big East Conference,NCAA D1
Butte College,"Oroville, California",Public,Golden Valley Conference,JC
Cairn University,"Langhorne, Pennsylvania",Private,Division III Independents,NCAA D3
Caldwell Community College & Technical Institute,"Hudson, North Carolina",Public,CJCC,JC
Caldwell University,"Caldwell, New Jersey",Private,Central Atlantic Collegiate Conference,NCAA D2
Calhoun Community College,"Tanner, Alabama",Public,Alabama Community College Conference,JC
California Baptist University,"Riverside, California",Private,Western Athletic Conference,NCAA D1
California Institute of Technology,"Pasadena, California",Private,Southern California Intercollegiate Athletic Conference,NCAA D3
California Lutheran University,"Thousand Oaks, California",Private,Southern California Intercollegiate Athletic Conference,NCAA D3
California Polytechnic State University – San Luis Obispo,"San Luis Obispo, California",Public,Big Sky Conference,NCAA D1
California State Polytechnic University – Pomona,"Pomona, California",Public,California Collegiate Athletic Association,NCAA D2
California State University – Bakersfield,"Bakersfield, California",Public,Big West Conference,NCAA D1
California State University – Chico,"Chico, California",Public,California Collegiate Athletic Association,NCAA D2
California State University – Dominguez Hills,"Carson, California",Public,California Collegiate Athletic Association,NCAA D2
California State University – East Bay,"Hayward, California",Public,California Collegiate Athletic Association,NCAA D2
California State University – Fresno,"Fresno, California",Public,Mountain West Conference,NCAA D1
California State University – Fullerton,"Fullerton, California",Public,Big West Conference,NCAA D1
California State University – Long Beach,"Long Beach, California",Public,Big West Conference,NCAA D1
California State University – Los Angeles,"Los Angeles, California",Public,California Collegiate Athletic Association,NCAA D2
California State University – Monterey Bay,"Seaside, California",Public,California Collegiate Athletic Association,NCAA D2
California State University – Northridge,"Northridge, California",Public,Big West Conference,NCAA D1
California State University – Sacramento,"Sacramento, California",Public,Big Sky Conference,NCAA D1
California State University – San Bernardino,"San Bernardino, California",Public,California Collegiate Athletic Association,NCAA D2
California State University – San Marcos,"San Marcos, California",Public,California Collegiate Athletic Association,NCAA D2
California State University – Stanislaus,"Turlock, California",Public,California Collegiate Athletic Association,NCAA D2
California University of Pennsylvania,"California, Pennsylvania",Public,Pennsylvania State Athletic Conference,NCAA D2
Calumet College of St. Joseph,"Whiting, Indiana",Private,Chicagoland Collegiate Athletic Conference,NAIA
Calvin University,"Grand Rapids, Michigan",Private,Michigan Intercollegiate Athletic Association,NCAA D3
Camden County College,"Blackwood, New Jersey",Public,Garden State Athletic Conference,JC
Cameron University,"Lawton, Oklahoma",Public,Lone Star Conference,NCAA D2
Campbell University,"Buies Creek, North Carolina",Private,Colonial Athletic Association,NCAA D1
Campbellsville University,"Campbellsville, Kentucky",Private,Mid-South Conference,NAIA
Canisius University,"Buffalo, New York",Private,Metro Atlantic Athletic Conference,NCAA D1
Capital University,"Columbus, Ohio",Private,Ohio Athletic Conference,NCAA D3
Carl Albert State College,"Poteau, Oklahoma",Public,Bi-State Conference,JC
Carl Sandburg College,"Galesburg, Illinois",Public,Arrowhead Conference,JC
Carleton College,"Northfield, Minnesota",Private,Minnesota Intercollegiate Athletic Conference,NCAA D3
Carolina University (Formerly Piedmont International University),"Winston Salem, North Carolina",Private,National Christian College Athletic Association,NAIA
Carroll University,"Waukesha, Wisconsin",Private,College Conference of Illinois and Wisconsin,NCAA D3
Carson-Newman University,"Jefferson City, Tennessee",Private,South Atlantic Conference,NCAA D2
